column,row_index,possible_values
8. Employment status ( আপনার চাকরির ধরণ কেমন?) ,9,"['Part-time', 'Full-time']"
8. Employment status ( আপনার চাকরির ধরণ কেমন?) ,21,"['Part-time', 'Full-time']"
8. Employment status ( আপনার চাকরির ধরণ কেমন?) ,46,"['Part-time', 'Full-time']"
8. Employment status ( আপনার চাকরির ধরণ কেমন?) ,78,"['Part-time', 'Full-time']"
14. Weekly working hours ( সপ্তাহে কত ঘণ্টা কাজ করেন?),47,"['<40 hours', '>=60 hours', '>= 40 hours & <60 hours']"
16. Any injury caused by motorcycle road traffic accidents over the last year? ( আপনি গত বছর কি মোটরসাইকেলজনিত কোন দুর্ঘটনায় আহত হয়েছিলেন?) ,55,"['Yes', 'No']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,2,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,4,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,5,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,7,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,9,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,12,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,13,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,14,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,20,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,21,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,26,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,33,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,36,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,41,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,44,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,53,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,55,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,57,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,60,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,64,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,65,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,71,"['Minor', 'Moderate', 'Severe']"
17. Accident severity types that you faced over the last one year period( আপনি গত বছর যে দুর্ঘটনার সম্মুখীন হয়েছেন তার হতাহতের ধরণ কেমন ছিল? ,72,"['Minor', 'Moderate', 'Severe']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,2,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,4,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,5,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,7,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,9,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,12,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,13,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,14,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,20,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,21,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,26,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,33,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,36,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,41,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,44,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,53,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,55,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,57,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,60,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,64,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,65,"['Rainy', 'Misty', 'Sunny', 'Others']"
18. Weather condition while accident took place ( দুর্ঘটনার সময় আবহাওয়া অবস্থা কেমন ছিল?) ,71,"['Rainy', 'Misty', 'Sunny', 'Others']"
"19. Do you talk on the phone while riding motorcycle? If yes, how often? (আপনি মোটরসাইকেল চালানোর সময় কি ফোনে কথা বলেন? যদি বলে থাকেন তাহলে কতক্ষণ বলেন?)",46,"['Often', 'Regularly', 'Sometimes']"
"19. Do you talk on the phone while riding motorcycle? If yes, how often? (আপনি মোটরসাইকেল চালানোর সময় কি ফোনে কথা বলেন? যদি বলে থাকেন তাহলে কতক্ষণ বলেন?)",47,"['Often', 'Regularly', 'Sometimes']"
